main_colno	code	quality	ref	length	variant	genus	spec_epithet	cf	pair_name	survey	country	province	region	city	elev	lon	lat	prec	remark	genbank_id	sporocarp_sample_by	sporocarp_sample_date	dna_sample_by	dna_sample_date	pcr_by	pcr_date	seq_date	submitter	submit_date	ref_person	ref_date	author	doi	n_ch	loc_code	distance	direction	topo	habitat	local	specimen_id	locality_id
LE47491	SSU	NA	Undefined	2504	NA	Physarum	notabile	FALSE	Unknown SSU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	JX035988	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	Oleg Shchepin	2021-12-27	Y.K. Novozhilov	NA	NA	tmp	NA	NA	NA	NA	NA	11354	1553
LE255719	SSU	NA	Undefined	1854	NA	Physarum	pseudonotabile	FALSE	Unknown SSU	SDakota_2007	USA	South Dakota	Badlands National Park	Jackson	732	-104.641389	 44.077500	50.0	NA	JX035983	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	Y.K. Novozhilov	NA	NA	SDakota_2007_x1	NA	NA	Cactus Flats	mixed grass litter, in moist chamber	NA	11197	1704
LE255712	SSU	NA	Undefined	1873	NA	Physarum	pseudonotabile	FALSE	Unknown SSU	Texas_2005	USA	Texas	Big Bend National Park; riparian vegetation	Rio Grande village	560	-103.595000	 29.300556	50.0	NA	JX035985	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	Y.K. Novozhilov	NA	NA	Texas_2005_x1	NA	NA	NA	on twigs litter of Acacia sp., in moist chamber	NA	11193	1707
LE255714	SSU	NA	Undefined	1875	NA	Physarum	pseudonotabile	FALSE	Unknown SSU	Texas_2005	USA	Texas	Big Bend National Park; riparian vegetation	Bahada	560	-103.063889	 29.339722	50.0	NA	JX035987	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	Y.K. Novozhilov	NA	NA	Texas_2005_x2	NA	NA	NA	on bark of living tree in moist chamber, oak-dominated woodland	NA	11194	1708
LE255139	SSU	NA	Undefined	528	NA	Kelleromyxa	fimicola	FALSE	S1 / SU19R	Altai_2008	Russia	Altay Republic	Ulaganskiy Raion	Aktash	1530	  87.475400	 50.333200	75.0	NA	JX312801	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Altai_2008_26	32000	NNE	Aktash	mountaineous meadow at a former clearcut in dry tamarack forest	Central Altay Mts., valley of the Saryachik river	11170	1622
LE274202	SSU	NA	Undefined	486	NA	Kelleromyxa	fimicola	FALSE	S1 / SU19R	Kaz_2008	Kazakhstan	West Kazakhstan region	Elton	Djianybek	26	  46.475200	 49.235300	25.0	NA	JX312802	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Kaz_2008_2184	4600	SW	Djianybeks stationar	NA	Caspian Lowland, depression, desert steppe reservation, sbor 155	11181	1679
LE274210	SSU	NA	Undefined	581	NA	Kelleromyxa	fimicola	FALSE	S1 / SU19R	Kaz_2008	Kazakhstan	West Kazakhstan region	Elton	Djianybek	26	  46.475200	 49.235300	25.0	NA	JX312803	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Kaz_2008_2184	4600	SW	Djianybeks stationar	NA	Caspian Lowland, depression, desert steppe reservation, sbor 155	11182	1679
LE274205	SSU	NA	Undefined	4812	NA	Kelleromyxa	fimicola	FALSE	Unknown SSU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	JX312804	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	tmp	NA	NA	NA	NA	NA	11318	1553
LE255438	SSU	NA	Undefined	1842	NA	Physarum	pseudonotabile	FALSE	Unknown SSU	Kaz_2006	Kazakhstan	Atyrau region	Inderborskii	Inderborskii	-15	  51.513200	 48.233600	25.0	NA	JQ478431	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	Y.K. Novozhilov	NA	NA	Kaz_2006_2064	20000	SO	Inder lake	NA	Caspian Lowland, plain, desert steppe, south bank Inder lake, sbor 50	11179	1669
LE259254	SSU	NA	Undefined	652	NA	Reticularia	splendens	FALSE	S1 / SR4Bright	Novosibirsk_2008	Russia	Novosibirskaia oblast'	NA	Novosibirsk	200	  83.125278	 54.828889	25.0	NA	KF544755	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.V. Leontyev	NA	NA	Novosibirsk_2008_6	NA	NA	settlement Akademgorodok, Central Siberian Botanical Garden	mixed moist pine-birch-poplar forest, very moist soil, a lot suply of fallen poplar and bird cherry trees	Ob' lowland	11228	1693
LE285173	SSU	NA	Undefined	564	NA	Diderma	alpinum	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2585	41.691500	43.426333	25.0	NA	KR029639	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi49	5200.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	S-exp. snowfields near the ridge crest, ca. 1.4 km upwards from upper loghouse, depression behind a solitary pine	S-exp. snowfields near the ridge crest, ca. 1.4 km upwards from upper loghouse, depression behind a solitary pine	7382	597
LE285205	SSU	NA	Undefined	560	NA	Diderma	alpinum	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2429	41.703167	43.425167	25.0	NA	KR029640	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi40	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfields with Rhododendron thickets ca. 350 m upwards from upper loghouse	snowfields with Rhododendron thickets ca. 350 m upwards from upper loghouse	7414	587
LE285235	SSU	NA	Undefined	562	NA	Diderma	alpinum	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2410	41.705333	43.424833	25.0	NA	KR029641	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi28	4400.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	Rhododendron thickets near the upper loghouse, N-exp. slope	Rhododendron thickets near the upper loghouse, N-exp. slope	7442	573
LE285239	SSU	NA	Undefined	566	NA	Diderma	alpinum	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2431	41.703167	43.425167	25.0	NA	KR029642	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi30	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield in depression 250 m upwards from upper loghouse	snowfield in depression 250 m upwards from upper loghouse	7446	576
LE285241	SSU	NA	Undefined	574	NA	Diderma	alpinum	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2474	41.702333	43.425500	25.0	NA	KR029643	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi42	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield at upper N-exp slope, 500 m upwards from upper loghouse, at the first steep ascent	snowfield at upper N-exp slope, 500 m upwards from upper loghouse, at the first steep ascent	7448	589
LE285243	SSU	NA	Undefined	572	NA	Diderma	meyerae	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2431	41.703167	43.425167	25.0	NA	KR029644	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi30	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield in depression 250 m upwards from upper loghouse	snowfield in depression 250 m upwards from upper loghouse	7450	576
LE285698	SSU	NA	Undefined	559	NA	Diderma	alpinum	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2541	41.700633	43.425750	25.0	NA	KR029645	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi3	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield, steep N-exp. slope, subalpine Rhododendron thickets	snowfield, steep N-exp. slope, subalpine Rhododendron thickets	7536	575
LE285705	SSU	NA	Undefined	564	NA	Diderma	alpinum	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2541	41.700633	43.425750	25.0	NA	KR029646	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi3	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield, steep N-exp. slope, subalpine Rhododendron thickets	snowfield, steep N-exp. slope, subalpine Rhododendron thickets	7544	575
LE285822	SSU	NA	Undefined	562	NA	Diderma	alpinum	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2609	41.690367	43.433350	25.0	NA	KR029647	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi19	5000.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	open snowfield in an alpine meadow with many Anemone speciosa, shallow NNE-exp. slope	open snowfield in an alpine meadow with many Anemone speciosa, shallow NNE-exp. slope	7670	562
LE299187	SSU	NA	Undefined	576	NA	Diderma	niveum	FALSE	S1 / SU19R	Valamo	Russia	Karelia	Valamo island	Sortavala	38	  30.928333	 61.360000	25.0	NA	KR029653	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Valamo_13	NA	NA	NA	spruce forest	Leschevoy bay	11298	1711
LE299930	SSU	NA	Undefined	559	NA	Diderma	niveum	FALSE	S1 / SU19R	Valamo	Russia	Karelia	Valamo island	Sortavala	10	  30.963028	 61.383944	25.0	NA	KR029654	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Valamo_16	NA	NA	NA	boreal pine forest with Vaccinium myrtillus	Zimnyakovskoye natural boundary	11302	1714
LE299933	SSU	NA	Undefined	562	NA	Diderma	niveum	FALSE	S1 / SU19R	Valamo	Russia	Karelia	Valamo island	Sortavala	10	  30.963028	 61.383944	25.0	NA	KR029655	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Valamo_16	NA	NA	NA	boreal pine forest with Vaccinium myrtillus	Zimnyakovskoye natural boundary	11303	1714
LE299956	SSU	NA	Undefined	576	NA	Diderma	niveum	FALSE	S1 / SU19R	Valamo	Russia	Karelia	Valamo island	Sortavala	38	  31.023667	 61.409417	25.0	NA	KR029656	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Valamo_17	NA	NA	NA	spruce forest	Chernyi nos	11307	1715
LE285148	SSU	NA	Undefined	461	NA	Diderma	fallax	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Dombai	2580	41.655333	43.288667	50.0	NA	KR029657	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi64	800.0	NE	Dombai, upper station of the cable way	snowfield in a little depression, alpine mats	snowfield in a little depression, alpine mats	7357	614
LE285149	SSU	NA	Undefined	549	NA	Diderma	fallax	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Dombai	2580	41.655333	43.288667	50.0	NA	KR029658	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi64	800.0	NE	Dombai, upper station of the cable way	snowfield in a little depression, alpine mats	snowfield in a little depression, alpine mats	7358	614
LE285731	SSU	NA	Undefined	462	NA	Diderma	fallax	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2589	41.691933	43.426283	25.0	NA	KR029661	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi8	5000.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield at the upper end of the Rhodendron zone, NNE-exp slope near a ridge, some isolated Betula litvinovii shrubs	snowfield at the upper end of the Rhodendron zone, NNE-exp slope near a ridge, some isolated Betula litvinovii shrubs	7570	624
LE285132	SSU	NA	Undefined	573	NA	Diderma	meyerae	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Dombai	2625	41.657667	43.287333	50.0	NA	KR029662	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi67	1000.0	NE	Dombai, upper station of the cable way		snowfield in a little depression, alpine mats	7340	617
LE285167	SSU	NA	Undefined	563	NA	Diderma	meyerae	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2425	41.703333	43.425167	25.0	NA	KR029663	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi57	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield ca. 200 m upwards from upper loghouse	snowfield ca. 200 m upwards from upper loghouse	7377	606
LE285198	SSU	NA	Undefined	562	NA	Diderma	meyerae	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2433	41.705000	43.424833	25.0	NA	KR029664	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi39	4400.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfields near the upper loghouse, N-exp. slope	snowfields near the upper loghouse, N-exp. slope	7407	585
LE285207	SSU	NA	Undefined	565	NA	Diderma	meyerae	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2429	41.703167	43.425167	25.0	NA	KR029665	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi40	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfields with Rhododendron thickets ca. 350 m upwards from upper loghouse	snowfields with Rhododendron thickets ca. 350 m upwards from upper loghouse	7416	587
LE285211	SSU	NA	Undefined	568	NA	Diderma	meyerae	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2408	41.705167	43.425000	25.0	NA	KR029666	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi54	4400.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	Rhododendron thickets with some Betula litwinowii near the upper loghouse, N-exp. slope	Rhododendron thickets with some Betula litwinowii near the upper loghouse, N-exp. slope	7420	603
LE285221	SSU	NA	Undefined	564	NA	Diderma	meyerae	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2441	41.702667	43.425167	25.0	NA	KR029667	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi32	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	large snowfields at upper N-exp slope, 300 m upwards from upper loghouse, before the first steep ascent	large snowfields at upper N-exp slope, 300 m upwards from upper loghouse, before the first steep ascent	7429	578
LE285232	SSU	NA	Undefined	563	NA	Diderma	meyerae	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2369	41.707000	43.425500	25.0	NA	KR029668	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi27	4200.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	steep ridge with Rhododendron and Betula litwinowii thickets, ascent from lower to upper loghouse, over the herbfield, NE-exp. ridge crest	steep ridge with Rhododendron and Betula litwinowii thickets, ascent from lower to upper loghouse, over the herbfield, NE-exp. ridge crest	7439	572
LE285234	SSU	NA	Undefined	562	NA	Diderma	meyerae	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2410	41.705333	43.424833	25.0	NA	KR029669	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi28	4400.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	Rhododendron thickets near the upper loghouse, N-exp. slope	Rhododendron thickets near the upper loghouse, N-exp. slope	7441	573
LE285904	SSU	NA	Undefined	570	NA	Diderma	meyerae	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2919	41.675700	43.436400	25.0	NA	KR029670	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi24	6200.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield at poor high alpine, wet soil with scattered small grasses and herbs, E-exp. slope below the summit Maloe Chatipara	snowfield at poor high alpine, wet soil with scattered small grasses and herbs, E-exp. slope below the summit Maloe Chatipara	7766	569
LE285674	SSU	NA	Undefined	573	NA	Diderma	europaeum	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2524	41.701433	43.425733	25.0	NA	KR029672	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi2	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	open snowfield, steep N-exp. slope, subalpine Rhododendron thickets with some Betula litvinovii	open snowfield, steep N-exp. slope, subalpine Rhododendron thickets with some Betula litvinovii	7512	563
LE285687	SSU	NA	Undefined	573	NA	Diderma	meyerae	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2524	41.701433	43.425733	25.0	NA	KR029673	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi2	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	open snowfield, steep N-exp. slope, subalpine Rhododendron thickets with some Betula litvinovii	open snowfield, steep N-exp. slope, subalpine Rhododendron thickets with some Betula litvinovii	7525	563
LE285712	SSU	NA	Undefined	573	NA	Diderma	microcarpum	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2541	41.700633	43.425750	25.0	NA	KR029674	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi3	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield, steep N-exp. slope, subalpine Rhododendron thickets	snowfield, steep N-exp. slope, subalpine Rhododendron thickets	7551	575
LE285742	SSU	NA	Undefined	568	NA	Diderma	microcarpum	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2589	41.691933	43.426283	25.0	NA	KR029675	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi8	5000.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield at the upper end of the Rhodendron zone, NNE-exp slope near a ridge, some isolated Betula litvinovii shrubs	snowfield at the upper end of the Rhodendron zone, NNE-exp slope near a ridge, some isolated Betula litvinovii shrubs	7581	624
LE285161	SSU	NA	Undefined	504	NA	Diderma	fallax	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Dombai	2580	41.655333	43.288667	50.0	NA	KR029680	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi64	800.0	NE	Dombai, upper station of the cable way	snowfield in a little depression, alpine mats	snowfield in a little depression, alpine mats	7371	614
LE285719	SSU	NA	Undefined	570	NA	Diderma	niveum	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2570	41.692900	43.426017	25.0	NA	KR029681	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi5	5000.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield at a N-exp. slope near a ridge, Rhododendron thickets with Betula litvinovii	snowfield at a N-exp. slope near a ridge, Rhododendron thickets with Betula litvinovii	7558	598
LE285726	SSU	NA	Undefined	570	NA	Diderma	niveum	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2589	41.691933	43.426283	25.0	NA	KR029682	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi8	5000.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield at the upper end of the Rhodendron zone, NNE-exp slope near a ridge, some isolated Betula litvinovii shrubs	snowfield at the upper end of the Rhodendron zone, NNE-exp slope near a ridge, some isolated Betula litvinovii shrubs	7565	624
LE285745	SSU	NA	Undefined	565	NA	Diderma	niveum	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2589	41.691933	43.426283	25.0	NA	KR029683	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi8	5000.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield at the upper end of the Rhodendron zone, NNE-exp slope near a ridge, some isolated Betula litvinovii shrubs	snowfield at the upper end of the Rhodendron zone, NNE-exp slope near a ridge, some isolated Betula litvinovii shrubs	7584	624
LE285748	SSU	NA	Undefined	572	NA	Diderma	niveum	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	1935	41.808117	43.268817	50.0	NA	KR029684	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi9	0.0	N	Dombai, valley of the Gonachkhir river	avalanche snow fields beyond border control point, open soil with herbs and scattered Betula litvinovii	avalanche snow fields beyond border control point, open soil with herbs and scattered Betula litvinovii	7588	626
LE285819	SSU	NA	Undefined	557	NA	Diderma	meyerae	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2569	41.691117	43.426633	25.0	NA	KR029685	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi18	5000.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	open snowfield in an alpine meadow with many Anemone speciosa, steep NNE-exp. slope	open snowfield in an alpine meadow with many Anemone speciosa, steep NNE-exp. slope	7665	561
LE285958	SSU	NA	Undefined	555	NA	Diderma	niveum	FALSE	S1 / SU19R	Vaskelovo_2011	Russia	Leningrad	Vsevologskyi district	Vaskelovo	78	  30.398500	 60.398694	25.0	NA	KR029686	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Vaskelovo_2011_3	NA	NA	NA	boreal pine forest with Vaccinium myrtillus	Troitskoe lake	11314	1718
LE285959	SSU	NA	Undefined	574	NA	Diderma	niveum	FALSE	S1 / SU19R	Vaskelovo_2011	Russia	Leningrad	Vsevologskyi district	Vaskelovo	78	  30.398500	 60.398694	25.0	NA	KR029687	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Vaskelovo_2011_3	NA	NA	NA	boreal pine forest with Vaccinium myrtillus	Troitskoe lake	11315	1718
LE285960	SSU	NA	Undefined	555	NA	Diderma	niveum	FALSE	S1 / SU19R	Vaskelovo_2011	Russia	Leningrad	Vsevologskyi district	Vaskelovo	78	  30.398500	 60.398694	25.0	NA	KR029688	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Vaskelovo_2011_3	NA	NA	NA	boreal pine forest with Vaccinium myrtillus	Troitskoe lake	11316	1718
LE285961	SSU	NA	Undefined	565	NA	Diderma	niveum	FALSE	S1 / SU19R	Vaskelovo_2011	Russia	Leningrad	Vsevologskyi district	Vaskelovo	78	  30.398500	 60.398694	25.0	NA	KR029689	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Vaskelovo_2011_3	NA	NA	NA	boreal pine forest with Vaccinium myrtillus	Troitskoe lake	11317	1718
LE289585	SSU	NA	Undefined	517	NA	Diderma	niveum	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2524	41.701433	43.425733	25.0	NA	KR029690	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi2	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	open snowfield, steep N-exp. slope, subalpine Rhododendron thickets with some Betula litvinovii	open snowfield, steep N-exp. slope, subalpine Rhododendron thickets with some Betula litvinovii	7809	563
LE292226	SSU	NA	Undefined	561	NA	Diderma	niveum	FALSE	S1 / SU19R	Vaskelovo_1996	Russia	Leningrad	Vsevologskyi district	Vaskelovo	70	  30.398556	 60.398750	25.0	NA	KR029701	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Vaskelovo_1996_1	NA	NA	NA	boreal pine forest with Vaccinium myrtillus	Troitskoe lake	11308	1716
LE292251	SSU	NA	Undefined	570	NA	Diderma	niveum	FALSE	S1 / SU19R	Vaskelovo_2009	Russia	Leningrad	Vsevologskyi district	Vaskelovo	70	  30.400139	 60.401583	25.0	NA	KR029702	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Vaskelovo_2009_2	NA	NA	NA	boreal pine forest with Vaccinium myrtillus	Troitskoe lake	11309	1717
